N	Answer	Time(sec)
100             73		0
5000            1809            0.019
10000           3617            0.056
15000           13617           0.118
30000           27233           0.501
50000           34465           1.345
100000          68929           5.446
200000		137857		25.8
400000		275713		103.2
500000          475713          245.757
600000		151425		232.2
700000		351425		316.1
800000		551425		412.8
900000		751425		522.5
1000000         951425          879.387
2000000         1902849         1360.28
